"Crop","Site","Month","Tmax","Tmin","Tmean","PP","SWE"
"Corn/Soy","Arlington",1,-2.87161290322581,-12.6206659729448,-7.74613943808533,38.0013333333333,28.4107596253902
"Corn/Soy","Arlington",2,-0.665627853881279,-11.1244178082192,-5.89502283105023,38.7783333333333,44.0767694063927
"Corn/Soy","Arlington",3,6.21365244536941,-5.07651404786681,0.568569198751301,61.433,45.393517169615
"Corn/Soy","Arlington",4,13.7542258064516,1.09975268817204,7.42698924731183,107.803666666667,16.0233870967742
"Corn/Soy","Arlington",5,20.6946618106139,7.58766909469303,14.1411654526535,112.263333333333,0.904609781477627
"Corn/Soy","Arlington",6,25.8478494623656,13.2418494623656,19.5448494623656,143.041333333333,0
"Corn/Soy","Arlington",7,27.7233714880333,15.3075858480749,21.5154786680541,109.86,0
"Corn/Soy","Arlington",8,26.6419979188345,14.384505723205,20.5132518210198,114.540333333333,0
"Corn/Soy","Arlington",9,22.6974838709677,9.54283870967742,16.1201612903226,89.007,0
"Corn/Soy","Arlington",10,15.3079396462019,3.17882414151925,9.24338189386056,74.9436666666667,0.0195109261186264
"Corn/Soy","Arlington",11,6.77498924731183,-2.984,1.89549462365591,63.4223333333333,0.674408602150538
"Corn/Soy","Arlington",12,-0.566568730325289,-9.44715634837356,-5.00686253934942,46.2633333333333,13.5989716684155
"Corn/Soy","Havelock",1,1.80842872008325,-9.99097814776275,-4.09127471383975,21.4366666666667,11.3485744016649
"Corn/Soy","Havelock",2,4.18118721461187,-8.129600456621,-1.97420662100457,26.4946666666667,15.2730251141553
"Corn/Soy","Havelock",3,11.5857960457856,-2.20910509885536,4.68834547346514,45.4343333333333,7.2880749219563
"Corn/Soy","Havelock",4,17.8242150537634,3.64918279569892,10.7366989247312,79.5866666666667,0.051
"Corn/Soy","Havelock",5,23.6278459937565,10.2716961498439,16.9497710718002,134.757333333333,0
"Corn/Soy","Havelock",6,28.8806666666667,16.1893978494624,22.5350322580645,125.459,0
"Corn/Soy","Havelock",7,31.0011966701353,18.5511966701353,24.7761966701353,101.448,0
"Corn/Soy","Havelock",8,30.0205098855359,17.2567741935484,23.6386420395421,96.8496666666667,0
"Corn/Soy","Havelock",9,26.1364086021505,11.8851075268817,19.0107580645161,94.7026666666667,0
"Corn/Soy","Havelock",10,19.0418418314256,4.86515088449532,11.9534963579605,60.968,0.0280957336108221
"Corn/Soy","Havelock",11,10.4978602150538,-2.25525806451613,4.12130107526882,37.6673333333333,0.46347311827957
"Corn/Soy","Havelock",12,3.23639034627492,-7.98648478488982,-2.37504721930745,31.5856666666667,6.07499475341028
"Corn/Soy","Lancaster",1,-2.97730489073881,-12.5200832466181,-7.74869406867846,32.9933333333333,25.2934963579605
"Corn/Soy","Lancaster",2,-0.613835616438356,-10.6615296803653,-5.63768264840183,33.0153333333333,36.7242579908676
"Corn/Soy","Lancaster",3,6.72669094693028,-4.04464099895942,1.34102497398543,56.5066666666667,31.2335275754422
"Corn/Soy","Lancaster",4,14.333247311828,2.23672043010753,8.28498387096774,106.787666666667,5.45802150537634
"Corn/Soy","Lancaster",5,20.9240894901145,8.60012486992716,14.7621071800208,115.999,0
"Corn/Soy","Lancaster",6,25.9210860215054,14.2903870967742,20.1057365591398,146.612666666667,0
"Corn/Soy","Lancaster",7,27.7153798126951,16.3736524453694,22.0445161290323,125.351,0
"Corn/Soy","Lancaster",8,26.6790634755463,15.4149323621228,21.0469979188345,114.905,0
"Corn/Soy","Lancaster",9,22.7703655913978,10.5290752688172,16.6497204301075,89.1536666666667,0
"Corn/Soy","Lancaster",10,15.5221540062435,3.90612903225806,9.71414151925078,73.022,0.011789802289282
"Corn/Soy","Lancaster",11,6.89411827956989,-2.57398924731183,2.16006451612903,57.7343333333333,0.482967741935484
"Corn/Soy","Lancaster",12,-0.629150052465897,-9.23272822665268,-4.93093913955929,45.7386666666667,11.782833158447
